benchmark,split,document_id,source_record_id,image_size,word_count,entity_categories,wrapper_instruction,evaluation_slice
SROIE,test,sroie_test_0000,sroie_test_0000,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0001,sroie_test_0001,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0002,sroie_test_0002,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0003,sroie_test_0003,720x960,44,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0004,sroie_test_0004,720x960,36,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0005,sroie_test_0005,720x960,34,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0006,sroie_test_0006,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0007,sroie_test_0007,720x960,47,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0008,sroie_test_0008,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0009,sroie_test_0009,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0010,sroie_test_0010,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0011,sroie_test_0011,720x960,36,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0012,sroie_test_0012,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0013,sroie_test_0013,720x960,47,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0014,sroie_test_0014,720x960,36,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0015,sroie_test_0015,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0016,sroie_test_0016,720x960,35,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0017,sroie_test_0017,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0018,sroie_test_0018,720x960,45,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0019,sroie_test_0019,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0020,sroie_test_0020,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0021,sroie_test_0021,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0022,sroie_test_0022,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0023,sroie_test_0023,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0024,sroie_test_0024,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0025,sroie_test_0025,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0026,sroie_test_0026,720x960,41,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0027,sroie_test_0027,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0028,sroie_test_0028,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0029,sroie_test_0029,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0030,sroie_test_0030,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
