benchmark,split,note_id,note_chars,phi_span_count,phi_types,wrapper_instruction,evaluation_slice
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0000,529,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0001,593,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0002,600,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0003,504,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0004,545,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0005,497,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0006,509,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0007,513,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0008,499,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0009,505,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0010,553,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0011,541,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0012,509,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0013,493,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0014,574,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0015,502,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0016,507,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0017,565,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0018,554,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0019,514,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0020,487,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0021,579,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0022,525,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0023,524,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0024,513,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0025,578,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0026,538,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0027,521,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0028,566,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0029,464,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0030,521,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0031,524,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0032,537,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0033,496,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0034,480,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0035,552,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0036,498,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0037,505,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0038,531,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0039,481,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0040,498,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0041,485,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0042,524,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0043,499,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0044,578,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0045,495,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0046,567,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0047,586,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
PhysioNet relabeled de-identification public transfer,physionet-train,physionet-relabeled-train-0048,558,8,AGE | DATE | ID | LOCATION | PATIENT | PHONE,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
