prompt_id,template_id,seed,setting,direct_exposure_score,ac_score,tsr_score
T01-V1,T01,17,No protection,1.000000,1.000000,1.000000
T01-V2,T01,17,No protection,1.000000,0.999664,0.999758
T01-V3,T01,17,No protection,1.000000,0.998595,0.999616
T01-V4,T01,17,No protection,1.000000,1.000000,0.998075
T01-V5,T01,17,No protection,1.000000,0.999395,0.999892
T01-V6,T01,17,No protection,1.000000,0.999586,1.000000
T01-V7,T01,17,No protection,0.998863,1.000000,1.000000
T01-V8,T01,17,No protection,1.000000,1.000000,1.000000
T02-V1,T02,17,No protection,1.000000,0.999664,0.999758
T02-V2,T02,17,No protection,1.000000,0.998595,0.999616
T02-V3,T02,17,No protection,1.000000,1.000000,1.000000
T02-V4,T02,17,No protection,1.000000,0.996595,0.996392
T02-V5,T02,17,No protection,1.000000,0.999586,1.000000
T02-V6,T02,17,No protection,0.998863,1.000000,1.000000
T02-V7,T02,17,No protection,0.999645,1.000000,1.000000
T02-V8,T02,17,No protection,1.000000,0.999396,0.999199
T03-V1,T03,17,No protection,1.000000,0.998595,0.999616
T03-V2,T03,17,No protection,1.000000,1.000000,1.000000
T03-V3,T03,17,No protection,1.000000,0.998595,0.998892
T03-V4,T03,17,No protection,1.000000,0.996786,0.998171
T03-V5,T03,17,No protection,0.998863,1.000000,1.000000
T03-V6,T03,17,No protection,0.999645,1.000000,1.000000
T03-V7,T03,17,No protection,1.000000,1.000000,1.000000
T03-V8,T03,17,No protection,1.000000,0.998835,1.000000
T04-V1,T04,17,No protection,1.000000,1.000000,1.000000
T04-V2,T04,17,No protection,1.000000,0.998595,0.998892
T04-V3,T04,17,No protection,1.000000,0.998786,1.000000
T04-V4,T04,17,No protection,1.000000,1.000000,0.998158
T04-V5,T04,17,No protection,0.999645,1.000000,1.000000
T04-V6,T04,17,No protection,1.000000,1.000000,1.000000
T04-V7,T04,17,No protection,1.000000,1.000000,1.000000
T04-V8,T04,17,No protection,1.000000,0.999295,1.000000
T05-V1,T05,17,No protection,1.000000,0.998595,0.998892
