split,template_id,prompt_id,variant_id,prompt_family,prompt_source,downstream_task_type,primary_privacy_category,subset,modality,split_rule
train,T01,T01-V1,V1,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V2,V2,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V3,V3,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V4,V4,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T01,T01-V5,V5,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V6,V6,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V7,V7,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T01,T01-V8,V8,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T02,T02-V1,V1,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V2,V2,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V3,V3,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V4,V4,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T02,T02-V5,V5,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V6,V6,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V7,V7,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T02,T02-V8,V8,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T03,T03-V1,V1,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T03,T03-V2,V2,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T03,T03-V3,V3,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T03,T03-V4,V4,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T03,T03-V5,V5,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T03,T03-V6,V6,Direct requests,Dialogue templates,Prompt QA,Postal addresses,Incidental-privacy,Text-only,template_stratified_family_category_rotation
