method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Raw OCR text prompt,sroie_test_0000,test,0,0,0,0,0,0.0,1.000,39,995.0
OCR + regex masking,sroie_test_0000,test,0,5,0,5,0,0.0,0.881,39,995.0
OCR + generic de-identification,sroie_test_0000,test,0,22,0,22,0,0.0,0.466,39,995.0
OCR + Presidio receipt de-identification,sroie_test_0000,test,0,27,0,27,0,0.0,0.356,39,995.0
OCR + spaCy receipt de-identification,sroie_test_0000,test,0,25,0,25,0,0.0,0.395,39,995.0
Proposed multimodal mediation,sroie_test_0000,test,0,22,0,22,0,0.0,0.466,39,995.0
Raw OCR text prompt,sroie_test_0001,test,1,0,0,0,1,100.0,1.000,48,1162.1
OCR + regex masking,sroie_test_0001,test,1,13,0,13,1,100.0,0.877,48,1162.1
OCR + generic de-identification,sroie_test_0001,test,1,27,1,26,0,0.0,0.533,48,1162.1
OCR + Presidio receipt de-identification,sroie_test_0001,test,1,33,1,32,0,0.0,0.332,48,1162.1
OCR + spaCy receipt de-identification,sroie_test_0001,test,1,33,1,32,0,0.0,0.446,48,1162.1
Proposed multimodal mediation,sroie_test_0001,test,1,27,1,26,0,0.0,0.533,48,1162.1
Raw OCR text prompt,sroie_test_0002,test,0,0,0,0,0,0.0,1.000,59,2309.2
OCR + regex masking,sroie_test_0002,test,0,20,0,20,0,0.0,0.905,59,2309.2
OCR + generic de-identification,sroie_test_0002,test,0,37,0,37,0,0.0,0.426,59,2309.2
OCR + Presidio receipt de-identification,sroie_test_0002,test,0,39,0,39,0,0.0,0.390,59,2309.2
OCR + spaCy receipt de-identification,sroie_test_0002,test,0,44,0,44,0,0.0,0.308,59,2309.2
Proposed multimodal mediation,sroie_test_0002,test,0,37,0,37,0,0.0,0.426,59,2309.2
Raw OCR text prompt,sroie_test_0003,test,0,0,0,0,0,0.0,1.000,37,1322.5
OCR + regex masking,sroie_test_0003,test,0,5,0,5,0,0.0,0.943,37,1322.5
OCR + generic de-identification,sroie_test_0003,test,0,17,0,17,0,0.0,0.570,37,1322.5
OCR + Presidio receipt de-identification,sroie_test_0003,test,0,28,0,28,0,0.0,0.221,37,1322.5
OCR + spaCy receipt de-identification,sroie_test_0003,test,0,25,0,25,0,0.0,0.378,37,1322.5
Proposed multimodal mediation,sroie_test_0003,test,0,17,0,17,0,0.0,0.570,37,1322.5
Raw OCR text prompt,sroie_test_0004,test,1,0,0,0,1,100.0,1.000,55,1558.1
OCR + regex masking,sroie_test_0004,test,1,14,0,14,1,100.0,0.874,55,1558.1
OCR + generic de-identification,sroie_test_0004,test,1,39,1,38,0,0.0,0.356,55,1558.1
OCR + Presidio receipt de-identification,sroie_test_0004,test,1,41,1,40,0,0.0,0.333,55,1558.1
OCR + spaCy receipt de-identification,sroie_test_0004,test,1,44,1,43,0,0.0,0.232,55,1558.1
Proposed multimodal mediation,sroie_test_0004,test,1,39,1,38,0,0.0,0.356,55,1558.1
Raw OCR text prompt,sroie_test_0005,test,0,0,0,0,0,0.0,1.000,38,1279.8
OCR + regex masking,sroie_test_0005,test,0,6,0,6,0,0.0,0.900,38,1279.8
OCR + generic de-identification,sroie_test_0005,test,0,21,0,21,0,0.0,0.410,38,1279.8
OCR + Presidio receipt de-identification,sroie_test_0005,test,0,22,0,22,0,0.0,0.358,38,1279.8
OCR + spaCy receipt de-identification,sroie_test_0005,test,0,23,0,23,0,0.0,0.356,38,1279.8
Proposed multimodal mediation,sroie_test_0005,test,0,21,0,21,0,0.0,0.410,38,1279.8
Raw OCR text prompt,sroie_test_0006,test,1,0,0,0,1,100.0,1.000,73,1475.8
OCR + regex masking,sroie_test_0006,test,1,22,0,22,1,100.0,0.857,73,1475.8
OCR + generic de-identification,sroie_test_0006,test,1,44,0,44,1,100.0,0.349,73,1475.8
OCR + Presidio receipt de-identification,sroie_test_0006,test,1,45,1,44,0,0.0,0.349,73,1475.8
OCR + spaCy receipt de-identification,sroie_test_0006,test,1,50,1,49,0,0.0,0.294,73,1475.8
Proposed multimodal mediation,sroie_test_0006,test,1,44,0,44,1,100.0,0.349,73,1475.8
Raw OCR text prompt,sroie_test_0007,test,0,0,0,0,0,0.0,1.000,51,1366.0
OCR + regex masking,sroie_test_0007,test,0,12,0,12,0,0.0,0.890,51,1366.0
OCR + generic de-identification,sroie_test_0007,test,0,33,0,33,0,0.0,0.456,51,1366.0
OCR + Presidio receipt de-identification,sroie_test_0007,test,0,36,0,36,0,0.0,0.328,51,1366.0
OCR + spaCy receipt de-identification,sroie_test_0007,test,0,40,0,40,0,0.0,0.245,51,1366.0
Proposed multimodal mediation,sroie_test_0007,test,0,33,0,33,0,0.0,0.456,51,1366.0
Raw OCR text prompt,sroie_test_0008,test,0,0,0,0,0,0.0,1.000,52,1760.7
OCR + regex masking,sroie_test_0008,test,0,16,0,16,0,0.0,0.922,52,1760.7
OCR + generic de-identification,sroie_test_0008,test,0,30,0,30,0,0.0,0.504,52,1760.7
OCR + Presidio receipt de-identification,sroie_test_0008,test,0,32,0,32,0,0.0,0.467,52,1760.7
OCR + spaCy receipt de-identification,sroie_test_0008,test,0,38,0,38,0,0.0,0.356,52,1760.7
Proposed multimodal mediation,sroie_test_0008,test,0,30,0,30,0,0.0,0.504,52,1760.7
Raw OCR text prompt,sroie_test_0009,test,0,0,0,0,0,0.0,1.000,50,1457.5
OCR + regex masking,sroie_test_0009,test,0,19,0,19,0,0.0,0.778,50,1457.5
OCR + generic de-identification,sroie_test_0009,test,0,35,0,35,0,0.0,0.373,50,1457.5
OCR + Presidio receipt de-identification,sroie_test_0009,test,0,37,0,37,0,0.0,0.337,50,1457.5
OCR + spaCy receipt de-identification,sroie_test_0009,test,0,37,0,37,0,0.0,0.365,50,1457.5
Proposed multimodal mediation,sroie_test_0009,test,0,35,0,35,0,0.0,0.373,50,1457.5
Raw OCR text prompt,sroie_test_0010,test,0,0,0,0,0,0.0,1.000,38,1129.8
OCR + regex masking,sroie_test_0010,test,0,5,0,5,0,0.0,0.946,38,1129.8
OCR + generic de-identification,sroie_test_0010,test,0,16,0,16,0,0.0,0.536,38,1129.8
OCR + Presidio receipt de-identification,sroie_test_0010,test,0,24,0,24,0,0.0,0.329,38,1129.8
OCR + spaCy receipt de-identification,sroie_test_0010,test,0,21,0,21,0,0.0,0.440,38,1129.8
Proposed multimodal mediation,sroie_test_0010,test,0,16,0,16,0,0.0,0.536,38,1129.8
Raw OCR text prompt,sroie_test_0011,test,1,0,0,0,1,100.0,1.000,59,1538.2
