benchmark,split,document_id,source_record_id,image_size,word_count,entity_categories,wrapper_instruction,evaluation_slice
FUNSD,test,0,0,754x1000,223,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,1,1,754x1000,167,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,2,2,754x1000,214,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,3,3,754x1000,222,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,4,4,754x1000,108,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,5,5,754x1000,187,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,6,6,754x1000,234,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,7,7,754x1000,228,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,8,8,754x1000,116,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,9,9,754x1000,70,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,10,10,754x1000,63,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,11,11,754x1000,190,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,12,12,754x1000,135,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,13,13,754x1000,112,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,14,14,754x1000,194,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,15,15,754x1000,204,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,16,16,754x1000,299,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,17,17,754x1000,87,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,18,18,754x1000,190,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,19,19,754x1000,141,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,20,20,802x1000,209,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,21,21,754x1000,236,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,22,22,754x1000,162,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
