prompt_id,template_id,variant_id,prompt_family,prompt_source,downstream_task_type,primary_privacy_category,subset,modality,template_stub,prompt_stub,split,release_scope,raw_prompt_released,ocr_source_asset_released,paper_title,paper_url
T01-V1,T01,V1,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V2,T01,V2,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V3,T01,V3,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V4,T01,V4,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,OCR-mediated text-plus-image,Direct request centered on person names.,Direct request centered on person names. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V5,T01,V5,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V6,T01,V6,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V7,T01,V7,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V8,T01,V8,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,OCR-mediated text-plus-image,Direct request centered on person names.,Direct request centered on person names. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V1,T02,V1,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V2,T02,V2,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
